title,img_src,link,author,publisher,price
당신의 매니저 11,https://bookthumb-phinf.pstatic.net/cover/163/408/16340893.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340893, 몽계,파피루스(디앤씨미디어),"7,200원(-10%)"
소설 예수 2,https://bookthumb-phinf.pstatic.net/cover/163/209/16320978.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16320978, 윤석철,나남,"14,220원(-10%)"
심야 비서 1,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330341, 미몽,마야마루출판사,"8,100원(-10%)"
"신창, 망국의 귀족이 되다. 1",https://bookthumb-phinf.pstatic.net/cover/163/412/16341235.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341235, 비도,로크미디어,"7,200원(-10%)"
너의 옷이 보여. 8,https://bookthumb-phinf.pstatic.net/cover/163/419/16341966.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341966, 킹묵,청어람,"7,200원(-10%)"
천재소독비 27/완결,https://bookthumb-phinf.pstatic.net/cover/163/307/16330713.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330713, 지에모,파란미디어,"13,500원(-10%)"
천재소독비 외전,https://bookthumb-phinf.pstatic.net/cover/163/307/16330715.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330715, 지에모,파란미디어,"13,500원(-10%)"
피와뼈. 1,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339965, 김성모,우주미디어,"5,700원(-5%)"
연기의 신이 되었다 8,https://bookthumb-phinf.pstatic.net/cover/163/399/16339901.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339901, 르뽀렘,파피루스(디앤씨미디어),"7,200원(-10%)"
피와뼈. 2,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339966, 김성모,우주미디어,"5,700원(-5%)"
나노머신 재벌 3세. 7,https://bookthumb-phinf.pstatic.net/cover/163/392/16339257.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339257, 풍류태,영상출판미디어(영상노트),"7,200원(-10%)"
술만 마시고 레벨 업 9,https://bookthumb-phinf.pstatic.net/cover/163/399/16339902.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339902, 펩티드,파피루스(디앤씨미디어),"7,200원(-10%)"
9999회차 SSS급 정찰병. 4,https://bookthumb-phinf.pstatic.net/cover/163/392/16339260.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339260, 트래스크,영상출판미디어(영상노트),"7,200원(-10%)"
"더킹, 왕이 되는자 5",https://bookthumb-phinf.pstatic.net/cover/163/399/16339904.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339904, 배가,파피루스(디앤씨미디어),"7,200원(-10%)"
탱고를 추는 神父,https://bookthumb-phinf.pstatic.net/cover/163/399/16339945.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339945, 정인,바른북스,"12,420원(-10%)"
화이트아웃,https://bookthumb-phinf.pstatic.net/cover/163/383/16338345.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338345, 장용호,필리리스토리,"13,500원(-10%)"
월면도시 PART1:일광욕의 날,https://bookthumb-phinf.pstatic.net/cover/163/400/16340054.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340054, 김동식,CABINET,"11,700원(-10%)"
죄악의 열매,https://bookthumb-phinf.pstatic.net/cover/163/258/16325834.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16325834, 춈춈,가하,"12,420원(-10%)"
8서클 마법사의 환생. 17 (완결),https://bookthumb-phinf.pstatic.net/cover/163/400/16340095.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340095, 자리,로크미디어,"7,200원(-10%)"
일주일 만에 사랑할 순 없다(김동식 소설집 8),https://bookthumb-phinf.pstatic.net/cover/162/936/16293677.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16293677, 김동식,요다,"11,700원(-10%)"
향수,https://bookthumb-phinf.pstatic.net/cover/163/296/16329605.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329605, 파트리크 쥐스킨트,열린책들,"13,320원(-10%)"
까떼드랄 주점에서의 대화 1,https://bookthumb-phinf.pstatic.net/cover/163/318/16331855.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16331855, 마리오 바르가스 요사,창비,"16,200원(-10%)"
나는 헌터가 싫다 10,https://bookthumb-phinf.pstatic.net/cover/163/387/16338756.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338756, 강찬,파피루스(디앤씨미디어),"7,200원(-10%)"
생사의 게임,https://bookthumb-phinf.pstatic.net/cover/163/178/16317815.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16317815, 시드니 셀던,문지사,"13,500원(-10%)"
토마스 만 단편 전집. 1(부클래식 82),https://bookthumb-phinf.pstatic.net/cover/163/252/16325219.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16325219, 토마스 만,부북스,"10,800원(-10%)"
비둘기(2020 파트리크 쥐스킨트 리뉴얼 시리즈),https://bookthumb-phinf.pstatic.net/cover/163/296/16329620.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329620, 파트리크 쥐스킨트,열린책들,"11,520원(-10%)"
까떼드랄 주점에서의 대화 2,https://bookthumb-phinf.pstatic.net/cover/163/318/16331858.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16331858, 마리오 바르가스 요사,창비,"16,200원(-10%)"
펠리시티: 벽의 꽃이 악마를 만나면 1,https://bookthumb-phinf.pstatic.net/cover/163/382/16338232.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338232, 새라 맥클레인,파피펍,없음
중국 재벌 6,https://bookthumb-phinf.pstatic.net/cover/163/387/16338757.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338757, 팬텀에릭,파피루스(디앤씨미디어),"7,200원(-10%)"
신 호모데우스전,https://bookthumb-phinf.pstatic.net/cover/163/263/16326344.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16326344, 이상권,특별한서재,"10,800원(-10%)"
사랑,https://bookthumb-phinf.pstatic.net/cover/163/295/16329599.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329599, 파트리크 쥐스킨트,열린책들,"13,320원(-10%)"
"청룡, 춘풍유희 1",https://bookthumb-phinf.pstatic.net/cover/163/308/16330845.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330845, 혁명,어울림출판사,"7,200원(-10%)"
GV 빌런 고태경,https://bookthumb-phinf.pstatic.net/cover/163/303/16330384.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330384, 정대건,은행나무,"12,150원(-10%)"
콘트라바스 Der Kontrabass(2020 파트리크 쥐스킨트 리뉴얼 시리즈),https://bookthumb-phinf.pstatic.net/cover/163/296/16329624.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329624, 파트리크 쥐스킨트,열린책들,"11,520원(-10%)"
신이 축복한 남자. 7,https://bookthumb-phinf.pstatic.net/cover/163/392/16339239.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339239, 정한담,로크미디어,"7,200원(-10%)"
펠리시티: 벽의 꽃이 악마를 만나면 2,https://bookthumb-phinf.pstatic.net/cover/163/382/16338233.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338233, 새라 맥클레인,파피펍,없음
잃어버린 시절을 찾아서 완간 세트(전12권),https://bookthumb-phinf.pstatic.net/cover/163/287/16328704.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16328704, 마르셀 프루스트,펭귄클래식코리아,"99,000원(-10%)"
곤륜패선 5,https://bookthumb-phinf.pstatic.net/cover/163/387/16338755.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338755, 윤시현,위시북스,"7,200원(-10%)"
피프티 피플(티트라 에디션)(한정판),https://bookthumb-phinf.pstatic.net/cover/163/306/16330682.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330682, 정세랑,창비,"16,200원(-35%)"
은퇴 좀 해라 3,https://bookthumb-phinf.pstatic.net/cover/163/387/16338750.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338750, 생착률95,동아,"7,200원(-10%)"
나스타샤(개정판)(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/181/16318146.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16318146, 조지수,북핀,"15,300원(-10%)"
시어니 트윌과 거울 마법(시어니 트윌과 마법 시리즈 2),https://bookthumb-phinf.pstatic.net/cover/163/292/16329279.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329279, 찰리 N. 홈버그,이덴슬리벨,"13,950원(-10%)"
청룡 춘풍유희. 2,https://bookthumb-phinf.pstatic.net/cover/163/392/16339237.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339237, 혁명,어울림,"7,200원(-10%)"
일의 기쁨과 슬픔(티트라 에디션)(한정판),https://bookthumb-phinf.pstatic.net/cover/163/306/16330684.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330684, 장류진,창비,"16,200원(-35%)"
로봇 교사 1,https://bookthumb-phinf.pstatic.net/cover/163/189/16318985.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16318985, 이희준,별숲,"10,800원(-10%)"
9클래스 소드 마스터 11,https://bookthumb-phinf.pstatic.net/cover/163/387/16338751.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338751, 이형석,위시북스,"7,200원(-10%)"
무등산에 묻다,https://bookthumb-phinf.pstatic.net/cover/163/233/16323309.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16323309, 이주숙,지식과감성,"10,800원(-10%)"
시어니 트윌과 종이 심장(시어니 트윌과 마법 시리즈 1),https://bookthumb-phinf.pstatic.net/cover/163/293/16329377.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329377, 찰리 N. 홈버그,이덴슬리벨,"13,950원(-10%)"
우리가 빚의 속도로 갈 수 없다면(티트라 에디션)(한정판),https://bookthumb-phinf.pstatic.net/cover/163/306/16330688.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330688, 김초엽,허블,"15,700원(-37%)"
로봇 교사 2,https://bookthumb-phinf.pstatic.net/cover/163/189/16318987.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16318987, 이희준,별숲,"10,800원(-10%)"
이 세계에서 너와 두 번째 첫사랑을,https://bookthumb-phinf.pstatic.net/cover/163/273/16327339.jpg?type=m1&udate=Sun Apr 26 09:25:47 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16327339, 모치즈키 쿠라게 저,북스토리,"11,520원(-10%)"
